,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
23945,Boston,42.346123,-71.047104,14.580703,0,POINT (-71.047104 42.346123),54201,Industrial
19791,Boston,42.339622,-71.063614,13.133961,0,POINT (-71.063614 42.339622),55419,Industrial
22169,Boston,42.343525,-71.03546899999998,17.314434,0,POINT (-71.03546899999998 42.343525),55417,Industrial
1489,Boston,42.290722,-71.078339,23.280878,0,POINT (-71.078339 42.290722),54227,Industrial
48809,Boston,42.383175,-71.023087,17.406824,0,POINT (-71.023087 42.383175),55434,Industrial
87390,Boston,42.24519,-71.13295699999998,19.903542,0,POINT (-71.13295699999998 42.24519),54405,Industrial
13981,Boston,42.3302,-71.071312,17.598122,0,POINT (-71.07131200000001 42.3302),54519,Industrial
22182,Boston,42.343525,-71.045982,16.203491,0,POINT (-71.045982 42.343525),54201,Industrial
20756,Boston,42.341248,-71.062302,17.352698999999998,0,POINT (-71.062302 42.341248),55419,Industrial
23068,Boston,42.344826,-71.047859,10.722628,0,POINT (-71.047859 42.344826),54201,Industrial
51031,Boston,42.386749,-71.075813,18.89847,0,POINT (-71.075813 42.386749),54848,Industrial
21953,Boston,42.343201,-71.051796,17.747618,0,POINT (-71.051796 42.343201),54202,Industrial
10168,Boston,42.320774,-71.098518,17.796347,0,POINT (-71.098518 42.320774),54245,Industrial
24911,Boston,42.347424,-71.03772,19.184937,0,POINT (-71.03771999999999 42.347424),55417,Industrial
21943,Boston,42.343201,-71.04278599999998,16.173310999999998,0,POINT (-71.04278599999998 42.343201),54195,Industrial
25378,Boston,42.348076,-71.030968,17.940147,0,POINT (-71.030968 42.348076),54434,Industrial
19203,Boston,42.33865,-71.0578,14.665237,0,POINT (-71.0578 42.33865),55419,Industrial
13015,Boston,42.328251,-71.07206,19.754248,0,POINT (-71.07205999999999 42.328251),54519,Industrial
6611,Boston,42.312,-71.07206,19.522945,0,POINT (-71.07205999999999 42.312),55520,Industrial
19952,Boston,42.339951,-71.037537,19.770649,0,POINT (-71.037537 42.339951),54195,Industrial
18530,Boston,42.337673,-71.057236,21.894644,0,POINT (-71.057236 42.337673),55419,Industrial
28038,Boston,42.35165,-71.029655,15.618638,0,POINT (-71.02965500000001 42.35165),54434,Industrial
22408,Boston,42.343849,-71.037537,21.034161,0,POINT (-71.037537 42.343849),55417,Industrial
125245,Boston,42.305031,-71.110413,14.631269,0,POINT (-71.11041299999999 42.305031),55787,Industrial
21737,Boston,42.342873,-71.051231,18.674578,0,POINT (-71.051231 42.342873),54202,Industrial
46837,Boston,42.380573,-71.077499,16.774271,0,POINT (-71.077499 42.380573),54825,Industrial
14549,Boston,42.331173,-71.070747,16.388006,0,POINT (-71.070747 42.331173),54519,Industrial
13983,Boston,42.3302,-71.07243299999998,18.423216,0,POINT (-71.07243299999998 42.3302),54519,Industrial
41876,Boston,42.373749,-71.070183,15.575377,0,POINT (-71.070183 42.373749),54818,Industrial
49477,Boston,42.384148,-71.048416,21.894432,0,POINT (-71.048416 42.384148),54857,Industrial
24161,Boston,42.346451,-71.02703100000002,17.743745999999994,0,POINT (-71.02703100000002 42.346451),55417,Industrial
47562,Boston,42.38155,-71.053299,12.605386,0,POINT (-71.053299 42.38155),54857,Industrial
23049,Boston,42.344826,-71.03546899999998,22.099779,0,POINT (-71.03546899999998 42.344826),55417,Industrial
48834,Boston,42.383175,-71.074875,24.258713,0,POINT (-71.07487500000001 42.383175),54825,Industrial
22856,Boston,42.344498,-71.048798,14.420581,0,POINT (-71.04879800000001 42.344498),54201,Industrial
27081,Boston,42.350349,-71.030777,12.139679,0,POINT (-71.030777 42.350349),54434,Industrial
54929,Boston,42.392925,-71.068497,16.403276,0,POINT (-71.06849699999999 42.392925),54848,Industrial
20536,Boston,42.340923,-71.04335,14.977162,0,POINT (-71.04335 42.340923),54195,Industrial
3124,Boston,42.298347,-71.05442,15.270624,0,POINT (-71.05441999999999 42.298347),55699,Industrial
30932,Boston,42.356197,-71.16888399999998,22.087242,0,POINT (-71.16888399999998 42.356197),55399,Industrial
