,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000
9210,Boston,42.348724,-71.105644,19.788219,0,POINT (-71.105644 42.348724),55188,Residential,9210
3362,Boston,42.295238,-71.162224,26.543321999999996,1,POINT (-71.16222399999999 42.295238),54446,Residential,3362
11974,Boston,42.309399,-71.04504399999998,18.817766,0,POINT (-71.04504399999998 42.309399),54220,Open Space,11974
11035,Boston,42.298203,-71.09859499999997,25.784903,1,POINT (-71.09859499999997 42.298203),54676,Open Space,11035
135,Boston,42.3172,-71.108086,25.872889,1,POINT (-71.108086 42.3172),55836,Residential,135
1024,Boston,42.298023,-71.073753,28.364248,1,POINT (-71.073753 42.298023),55654,Residential,1024
14044,Boston,42.343201,-71.057426,27.243294,1,POINT (-71.05742600000001 42.343201),55422,Industrial,14044
12147,Boston,42.361401,-71.0578,22.622015,0,POINT (-71.0578 42.361401),55086,Open Space,12147
132,Boston,42.302574,-71.083885,25.311075,1,POINT (-71.083885 42.302574),54675,Residential,132
16598,Boston,42.363673999999996,-71.05948599999998,27.505072,1,POINT (-71.05948599999998 42.363674),54871,Mixed Use,16598
18688,Boston,42.350674,-71.074127,30.770468,1,POINT (-71.074127 42.350674),55205,Business,18688
18625,Boston,42.26664,-71.095055,25.616707,1,POINT (-71.095055 42.26664),54670,Business,18625
3200,Boston,42.294773,-71.075249,26.410396999999996,1,POINT (-71.075249 42.294773),55564,Residential,3200
10246,Boston,42.308098,-71.090073,25.032429,1,POINT (-71.090073 42.308098),54676,Open Space,10246
12398,Boston,42.283241,-71.043892,14.230185999999998,0,POINT (-71.043892 42.283241),54216,Open Space,12398
17815,Boston,42.320774,-71.122162,24.503946,0,POINT (-71.122162 42.320774),54248,Miscellaneous,17815
1705,Boston,42.34515,-71.090446,25.6952,1,POINT (-71.090446 42.34515),55145,Residential,1705
5685,Boston,42.279964,-71.160912,23.661978,0,POINT (-71.160912 42.279964),54446,Residential,5685
4021,Boston,42.292637,-71.13069899999998,27.513178000000003,1,POINT (-71.13069899999998 42.292637),54265,Residential,4021
19281,Boston,42.322075,-71.10790300000002,23.57538,0,POINT (-71.10790300000002 42.322075),54247,Business,19281
2967,Boston,42.353275,-71.126663,25.341621,1,POINT (-71.12666299999999 42.353275),55286,Residential,2967
18109,Boston,42.287762,-71.172173,23.624026999999998,0,POINT (-71.172173 42.287762),54497,Miscellaneous,18109
13771,Boston,42.382851,-71.066429,26.746534000000004,1,POINT (-71.066429 42.382851),54857,Industrial,13771
7681,Boston,42.299,-71.079193,20.811483,0,POINT (-71.079193 42.299),55654,Residential,7681
7076,Boston,42.378948,-71.034157,22.570225,0,POINT (-71.03415699999999 42.378948),55478,Residential,7076
3086,Boston,42.335075,-71.08651,30.768276,1,POINT (-71.08651 42.335075),54517,Residential,3086
16014,Boston,42.321422999999996,-71.067368,20.245384,0,POINT (-71.067368 42.321423),55612,Industrial,16014
9346,Boston,42.24194,-71.124321,20.972027,0,POINT (-71.12432099999999 42.24194),54400,Residential,9346
9694,Boston,42.24681500000001,-71.122635,23.873224,0,POINT (-71.122635 42.24681500000001),54430,Residential,9694
3993,Boston,42.386101000000004,-71.003387,25.269276,1,POINT (-71.003387 42.386101),55429,Residential,3993
10800,Boston,42.359123,-71.156311,27.326706,1,POINT (-71.156311 42.359123),55391,Open Space,10800
15505,Boston,42.336372,-71.065117,15.240898999999999,0,POINT (-71.065117 42.336372),55419,Industrial,15505
3041,Boston,42.344173,-71.155182,28.634176,1,POINT (-71.155182 42.344173),55359,Residential,3041
14838,Boston,42.355872999999995,-71.143929,18.482698000000006,0,POINT (-71.143929 42.355873),55323,Industrial,14838
296,Boston,42.277687,-71.077789,25.268623,1,POINT (-71.077789 42.277687),55568,Residential,296
3306,Boston,42.307926,-71.118126,32.396793,1,POINT (-71.118126 42.307926),55822,Residential,3306
19030,Boston,42.357498,-71.05555,32.343964,1,POINT (-71.05555 42.357498),54842,Business,19030
14494,Boston,42.333121999999996,-71.057236,16.910345,0,POINT (-71.057236 42.333122),55419,Industrial,14494
12445,Boston,42.278664,-71.11438000000003,18.021893,0,POINT (-71.11438000000003 42.278664),54293,Open Space,12445
17800,Boston,42.284512,-71.101997,23.316525,0,POINT (-71.101997 42.284512),54646,Miscellaneous,17800
127,Boston,42.296721999999995,-71.064743,25.257593,1,POINT (-71.06474300000001 42.296722),55567,Residential,127
5326,Boston,42.380249,-71.033783,20.546141,0,POINT (-71.033783 42.380249),55499,Residential,5326
12680,Boston,42.291035,-71.08734100000002,24.801481,0,POINT (-71.08734100000002 42.291035),54633,Open Space,12680
5584,Boston,42.319148999999996,-71.07356300000002,20.78511,0,POINT (-71.07356300000002 42.319149),55517,Residential,5584
19599,Boston,42.340599,-71.087822,27.943182,1,POINT (-71.087822 42.340599),55148,Comm/Instit,19599
7429,Boston,42.274113,-71.062965,22.52825,0,POINT (-71.06296500000001 42.274113),55709,Residential,7429
2896,Boston,42.279312,-71.15265699999998,25.673332000000002,1,POINT (-71.15265699999998 42.279312),54445,Residential,2896
12892,Boston,42.329223999999996,-71.03546899999998,19.582179999999997,0,POINT (-71.03546899999998 42.329224),54437,Open Space,12892
16814,Boston,42.350025,-71.06399499999998,28.061306,1,POINT (-71.06399499999998 42.350025),54862,Mixed Use,16814
4767,Boston,42.311023999999996,-71.091766,28.243395,1,POINT (-71.09176600000001 42.311024),54752,Residential,4767
3668,Boston,42.307613,-71.116051,32.394863,1,POINT (-71.116051 42.307613),55822,Residential,3668
3199,Boston,42.342224,-71.08087900000002,29.128149,1,POINT (-71.08087900000002 42.342224),54936,Residential,3199
11586,Boston,42.282562,-71.100121,27.091993,1,POINT (-71.100121 42.282562),54293,Open Space,11586
13865,Boston,42.236412,-71.136894,37.249553999999996,1,POINT (-71.136894 42.236412),54377,Industrial,13865
2418,Boston,42.362697999999995,-71.064552,25.915267999999998,1,POINT (-71.06455200000001 42.362698),55213,Residential,2418
6360,Boston,42.299,-71.084824,24.720482,0,POINT (-71.084824 42.299),54675,Residential,6360
291,Boston,42.305313,-71.11700400000002,25.248177,1,POINT (-71.11700400000002 42.305313),54235,Residential,291
16613,Boston,42.389023,-70.999443,25.94458,1,POINT (-70.999443 42.389023),55432,Mixed Use,16613
3369,Boston,42.26664,-71.10818499999998,26.381598999999998,1,POINT (-71.10818499999998 42.26664),54331,Residential,3369
18840,Boston,42.363026,-71.141296,25.782801,1,POINT (-71.141296 42.363026),55353,Business,18840
